Table,Months 1-2: Foundation Team,,,,,
Role,Count,Monthly Salary,Months,Total,Priority,
Senior Full-Stack Developer,1,45000,2,90000,Critical,
Backend Developer,1,35000,2,70000,Critical,
Hardware Engineer (Drishti Phase 2),1,38000,2,76000,Critical,
Content Creator/Marketing,1,25000,2,50000,Essential,
Total Core Team,4,,,286000,,
,,,,,,
Table,Months 3-4: Revenue Team,,,,,
Role,Count,Monthly Salary,Months,Total,Strategic Add,
Backend Developer,1,35000,2,70000,Maintenance,
Sales Executive,2,18000 + incentive,2,72000,Revenue focus,
Content Creator,1,25000,2,50000,Continue,
Video Editor,1,22000,2,44000,Content scaling,
Hardware Tech (Phase 3),1,35000,2,70000,Product completion,
Total Revenue Team,6,,,306000,,
,,,,,,
Table,Months 5-8: Scale Team,,,,,
Role,Count,Monthly Salary,Months,Total,Growth Mode,
Frontend Developer,1,30000,4,120000,User experience,
Sales Team,3,20000 each,4,240000,Market expansion,
Social Media Manager,1,28000,4,112000,Brand building,
Backend Developer 2,1,35000,4,140000,Scaling support,
Operations Executive,1,20000,4,80000,Process management,
Total Scale Team,7,,,692000,,
,,,,,,
Table,Monthly Financial Breakdown,,,,,
Month,Team Size,Salaries,Marketing,Operations,Hardware R&D,Total Cost
1,4,143000,30000,15000,20000,208000
2,4,143000,30000,15000,25000,213000
3,6,153000,60000,20000,30000,263000
4,6,153000,60000,25000,35000,273000
5,7,173000,80000,30000,25000,308000
6,7,173000,80000,35000,20000,328000
7,7,173000,100000,40000,15000,328000
8,7,173000,100000,45000,10000,328000
,,,,,,
Table,Revenue Projections: Hardware Sales,,,,,
Month,Units Sold,Price,Revenue,Channel Strategy,,
1,30,500,15000,"Direct sales, testing",,
2,80,500,40000,Website launch,,
3,150,500,75000,"Amazon, Flipkart onboarding",,
4,250,500,125000,Sales team activation,,
5,400,500,200000,Quick commerce expansion,,
6,600,500,300000,Government partnerships,,
7,800,500,400000,Brand partnerships,,
8,1000,500,500000,Market leadership,,
,,,,,,
Table,Revenue Projections: Fleet Management SaaS,,,,,
Month,New Signups,Free Users,Paid Users,Monthly Revenue,Cumulative Revenue,
1,20,20,0,0,0,
2,40,60,20,40000,40000,
3,60,120,60,120000,160000,
4,80,200,120,240000,400000,
5,100,300,200,400000,800000,
6,120,420,300,600000,1400000,
7,150,570,420,840000,2240000,
8,180,750,570,1140000,3380000,
,,,,,,
Table,Combined Monthly Revenue,,,,,
Month,Hardware,SaaS,Total Revenue,Growth Rate,,
1,15000,0,15000,,,
2,40000,40000,80000,433%,,
3,75000,120000,195000,144%,,
4,125000,240000,365000,87%,,
5,200000,400000,600000,64%,,
6,300000,600000,900000,50%,,
7,400000,840000,1240000,38%,,
8,500000,1140000,1640000,32%,,
,,,,,,
Table,Cash Flow Analysis,,,,,
Month,Revenue,Costs,Net Cash Flow,Cumulative CF,Funding Used,
1,15000,208000,-193000,-193000,193000,
2,80000,213000,-133000,-326000,326000,
3,195000,263000,-68000,-394000,394000,
4,365000,273000,92000,-302000,302000,
5,600000,308000,292000,-10000,10000,
6,900000,328000,572000,562000,0,
7,1240000,328000,912000,1474000,0,
8,1640000,328000,1312000,2786000,0,
,,,,,,
Table,Fund Utilization Breakdown,,,,,
Category,Amount,Percentage,Strategic Priority,,,
Core Team Salaries (Months 1-5),535000,38%,Revenue generation focus,,,
Marketing & Customer Acquisition,340000,24%,Revenue-driven scaling,,,
Hardware R&D (Phase 2 & 3),165000,12%,Product completion,,,
Technology & Infrastructure,150000,11%,Scalable platform,,,
Operations & Legal,100000,7%,Business infrastructure,,,
Emergency Buffer,110000,8%,Risk management,,,
Total Funding,1400000,100%,,,,
,,,,,,
Table,Marketing Breakdown,,,,,
Month,Digital Ads,Content Production,Partnerships,Total Marketing,,
2-Jan,20000,8000,2000,30000 each,,
4-Mar,40000,12000,8000,60000 each,,
8-May,60000,20000,20000,100000 each,,
,,,,,,
Table,Operations & Infrastructure Breakdown,,,,,
Category,Months 1-2,Months 3-4,Months 5-8,Total,,
Cloud & Tech Infrastructure,8000,12000,15000/month,83000,,
Office & Co-working,5000,8000,12000/month,61000,,
Legal & Compliance,2000,5000,8000/month,47000,,
Total Operations,15000,25000,35000/month,191000,,
,,,,,,
Table,Strategic Partnerships: Government,,,,,
Department,Potential Users,Revenue Impact (/month),Implementation,,,
Transport Authority,100 vehicles,200000,Pilot program,,,
Municipal Corporation,150 vehicles,300000,Fleet tracking,,,
Total Government,250,500000,Month 4,,,
,,,,,,
Table,Strategic Partnerships: Brand,,,,,
Partner Type,Expected Users,Revenue Impact (/month),Strategy,,,
Vehicle Manufacturers,200,400000,OEM integration,,,
Logistics Companies,150,300000,Fleet management,,,
Fintech (Paytm/CRED),100,200000,Payment integration,,,
Total Partnerships,450,900000,Month 6,,,
,,,,,,
Table,Content Production Strategy,,,,,
Month,Reels,Long-form,Budget,ROI Target,,
2-Jan,20/month,8/month,8000,Brand awareness,,
4-Mar,30/month,10/month,12000,Lead generation,,
8-May,40/month,14/month,20000,Customer acquisition,,
,,,,,,
Table,Digital Marketing Strategy,,,,,
Phase,Focus,Budget (/month),Expected CAC,Target Acquisitions,,
2-Jan,Awareness,20000,,Brand building,,
4-Mar,Lead Gen,40000,800,50 customers/month,,
8-May,Conversion,60000,600,100 customers/month,,
,,,,,,
Table,Series A Achievement Targets,,,,,
Metric,Target,Current Trajectory,,,,
Monthly Revenue,16.4L,On track,,,,
Annual Run Rate,19.68 Crore,Achieved,,,,
Active Users,570+,Growing,,,,
Cash Position,27.78L,Strong,,,,
Team Size,7 people,Optimized,,,,
Hardware Development,Complete,Accelerated timeline,,,,
